kode_bps,nama_bps,kode_dagri,nama_dagri
6212,BARITO TIMUR,62.13,KAB. BARITO TIMUR
6213,MURUNG RAYA,62.12,KAB. MURUNG RAYA
6271,PALANGKA RAYA,62.71,KOTA PALANGKARAYA
6301,TANAH LAUT,63.01,KAB. TANAH LAUT
6302,KOTABARU,63.02,KAB. KOTABARU
6303,BANJAR,63.03,KAB. BANJAR
6304,BARITO KUALA,63.04,KAB. BARITO KUALA
6305,TAPIN,63.05,KAB. TAPIN
6306,HULU SUNGAI SELATAN,63.06,KAB. HULU SUNGAI SELATAN
6307,HULU SUNGAI TENGAH,63.07,KAB. HULU SUNGAI TENGAH
6308,HULU SUNGAI UTARA,63.08,KAB. HULU SUNGAI UTARA
6309,TABALONG,63.09,KAB. TABALONG
6310,TANAH BUMBU,63.1,KAB. TANAH BUMBU
6311,BALANGAN,63.11,KAB. BALANGAN
6371,BANJARMASIN,63.71,KOTA BANJARMASIN
6372,BANJAR BARU,63.72,KOTA BANJARBARU
6401,PASER,64.01,KAB. PASER
6402,KUTAI BARAT,64.07,KAB. KUTAI BARAT
6403,KUTAI KARTANEGARA,64.02,KAB. KUTAI KARTANEGARA
6404,KUTAI TIMUR,64.08,KAB. KUTAI TIMUR
6405,BERAU,64.03,KAB. BERAU
6409,PENAJAM PASER UTARA,64.09,KAB. PENAJAM PASER UTARA
6411,MAHAKAM HULU,64.11,KAB. MAHAKAM ULU
6471,BALIKPAPAN,64.71,KOTA BALIKPAPAN
6472,SAMARINDA,64.72,KOTA SAMARINDA
6474,BONTANG,64.74,KOTA BONTANG
6501,MALINAU,65.02,KAB. MALINAU
6502,BULUNGAN,65.01,KAB. BULUNGAN
6503,TANA TIDUNG,65.04,KAB. TANA TIDUNG
6504,NUNUKAN,65.03,KAB. NUNUKAN
6571,TARAKAN,65.71,KOTA TARAKAN
7101,BOLAANG MONGONDOW,71.01,KAB. BOLAANG MONGONDOW
7102,MINAHASA,71.02,KAB. MINAHASA
7103,KEPULAUAN SANGIHE,71.03,KAB. KEPULAUAN SANGIHE
7104,KEPULAUAN TALAUD,71.04,KAB. KEPULAUAN TALAUD
7105,MINAHASA SELATAN,71.05,KAB. MINAHASA SELATAN
7106,MINAHASA UTARA,71.06,KAB. MINAHASA UTARA
7107,BOLAANG MONGONDOW UTARA,71.08,KAB. BOLAANG MONGONDOW
7108,SIAU TAGULANDANG BIARO,71.09,KAB. KEP. SIAU TAGULANDANG
7109,MINAHASA TENGGARA,71.07,KAB. MINAHASA TENGGARA
7110,BOLAANG MONGONDOW SELATAN,71.11,KAB. BOLAANG MONGONDOW
7111,BOLAANG MONGONDOW TIMUR,71.1,KAB. BOLAANG MONGONDOW
7171,MANADO,71.71,KOTA MANADO
7172,BITUNG,71.72,KOTA BITUNG
7173,TOMOHON,71.73,KOTA TOMOHON
7174,KOTAMOBAGU,71.74,KOTA KOTAMOBAGU
7201,BANGGAI KEPULAUAN,72.07,KAB. BANGGAI KEPULAUAN
7202,BANGGAI,72.01,KAB. BANGGAI
7203,MOROWALI,72.06,KAB. MOROWALI
7204,POSO,72.02,KAB. POSO
7205,DONGGALA,72.03,KAB. DONGGALA
7206,TOLI-TOLI,72.04,KAB. TOLI TOLI
7207,BUOL,72.05,KAB. BUOL
7208,PARIGI MOUTONG,72.08,KAB. PARIGI MOUTONG
7209,TOJO UNA-UNA,72.09,KAB. TOJO UNA UNA
7210,SIGI,72.1,KAB. SIGI
7211,BANGGAI LAUT,72.11,KAB. BANGGAI LAUT
7212,MOROWALI UTARA,72.12,KAB. MOROWALI UTARA
7271,PALU,72.71,KOTA PALU
7301,KEPULAUAN SELAYAR,73.01,KAB. KEPULAUAN SELAYAR
7302,BULUKUMBA,73.02,KAB. BULUKUMBA
7303,BANTAENG,73.03,KAB. BANTAENG
7304,JENEPONTO,73.04,KAB. JENEPONTO
7305,TAKALAR,73.05,KAB. TAKALAR
7306,GOWA,73.06,KAB. GOWA
7307,SINJAI,73.07,KAB. SINJAI
7308,MAROS,73.09,KAB. MAROS
7309,PANGKAJENE DAN KEPULAUAN,73.1,KAB. PANGKAJENE KEPULAUAN
7310,BARRU,73.11,KAB. BARRU
7311,BONE,73.08,KAB. BONE
7312,SOPPENG,73.12,KAB. SOPPENG
7313,WAJO,73.13,KAB. WAJO
7314,SIDENRENG RAPPANG,73.14,KAB. SIDENRENG RAPPANG
7315,PINRANG,73.15,KAB. PINRANG
7316,ENREKANG,73.16,KAB. ENREKANG
7317,LUWU,73.17,KAB. LUWU
7318,TANA TORAJA,73.18,KAB. TANA TORAJA
7322,LUWU UTARA,73.22,KAB. LUWU UTARA
