kode_bps,nama_bps,kode_dagri,nama_dagri
1108040,SEULIMEUM,11.06.04,SEULIMEUM
1108041,KOTA JANTHO,11.06.15,KOTA JANTHO
1108042,LEMBAH SEULAWAH,11.06.14,LEMBAH SEULAWAH
1108050,MESJID RAYA,11.06.09,MESJID RAYA
1108060,DARUSSALAM,11.06.12,DARUSSALAM
1108061,BAITUSSALAM,11.06.20,BAITUSSALAM
1108070,KUTA BARO,11.06.11,KUTA BARO
1108080,MONTASIK,11.06.05,MONTASIK
1108081,BLANG BINTANG,11.06.23,BLANG BINTANG
1108090,INGIN JAYA,11.06.10,INGIN JAYA
1108091,KRUENG BARONA JAYA,11.06.21,KRUENG BARONA JAYA
1108100,SUKA MAKMUR,11.06.06,SUKAMAKMUR
1108101,KUTA MALAKA,11.06.17,KUTA MALAKA
1108102,SIMPANG TIGA,11.06.18,SIMPANG TIGA
1108110,DARUL IMARAH,11.06.07,DARUL IMARAH
1108111,DARUL KAMAL,11.06.19,DARUL KAMAL
1108120,PEUKAN BADA,11.06.08,PEUKAN BADA
1108130,PULO ACEH,11.06.13,PULO ACEH
1109010,GEUMPANG,11.07.05,GEUMPANG
1109011,MANE,11.07.27,MANE
1109070,GLUMPANG TIGA,11.07.06,GEULUMPANG TIGA
1109071,GLUMPANG BARO,11.07.29,GLUMPANG BARO
1109080,MUTIARA,11.07.13,MUTIARA
1109081,MUTIARA TIMUR,11.07.24,MUTIARA TIMUR
1109090,TIRO/TRUSEB,11.07.21,TIRO/TRUSEB
1109100,TANGSE,11.07.19,TANGSE
1109111,KEUMALA,11.07.22,KEUMALA
1109112,TITEUE,11.07.31,TITEUE
1109120,SAKTI,11.07.17,SAKTI
1109130,MILA,11.07.11,MILA
1109140,PADANG TIJI,11.07.14,PADANG TIJI
1109150,DELIMA,11.07.04,DELIMA
1109151,GRONG GRONG,11.07.25,GRONG-GRONG
1109160,INDRAJAYA,11.07.07,INDRA JAYA
1109170,PEUKAN BARO,11.07.15,PEUKAN BARO
1109180,KEMBANG TANJONG,11.07.08,KEMBANG TANJONG
1109190,SIMPANG TIGA,11.07.18,SIMPANG TIGA
1109200,KOTA SIGLI,11.07.09,KOTA SIGLI
1109210,PIDIE,11.07.16,PIDIE
1109220,BATEE,11.07.03,BATEE
1109230,MUARA TIGA,11.07.12,MUARA TIGA
1110010,SAMALANGA,11.11.01,SAMALANGA
1110011,SIMPANG MAMPLAM,11.11.11,SIMPANG MAMPLAM
1110020,PANDRAH,11.11.08,PANDRAH
1110030,JEUNIEB,11.11.02,JEUNIEB
1110031,PEULIMBANG,11.11.12,PEULIMBANG
1110040,PEUDADA,11.11.03,PEUDADA
